,num_reinas,tam_pob,tiempo_avg_seq,iter_avg_seq,tiempo_avg_con,iter_avg_con,speedup
0,4,20,0.001,1.0,0.332,1.9,0.003012048192771084
1,4,30,0.002,1.1,0.353,1.6,0.0056657223796034
2,4,40,0.001,1.0,0.329,1.0,0.00303951367781155
3,4,60,0.002,1.0,0.355,1.1,0.005633802816901409
4,4,100,0.004,1.0,0.331,1.0,0.012084592145015106
5,5,20,0.001,1.0,0.329,1.5,0.00303951367781155
6,5,30,0.001,1.0,0.324,1.4,0.0030864197530864196
7,5,40,0.002,1.0,0.321,1.5,0.006230529595015576
8,5,60,0.002,1.0,0.324,1.1,0.006172839506172839
9,5,100,0.004,1.0,0.322,1.0,0.012422360248447204
10,10,20,0.338,33.3,0.373,34.3,0.9061662198391421
11,10,30,0.156,11.4,0.357,17.2,0.4369747899159664
12,10,40,0.437,21.0,0.37,16.4,1.181081081081081
13,10,60,0.404,13.5,0.413,20.4,0.9782082324455207
14,10,100,0.384,8.2,0.409,12.7,0.938875305623472
15,15,20,1.018,101.4,0.46,80.7,2.2130434782608694
16,15,30,1.108,79.5,0.429,46.3,2.5827505827505832
17,15,40,0.845,49.0,0.474,46.4,1.7827004219409284
18,15,60,0.811,33.0,0.474,32.6,1.7109704641350212
19,15,100,1.63,39.8,0.551,28.4,2.9582577132486385
20,20,20,1.349,142.1,0.644,173.5,2.0947204968944098
21,20,30,1.658,119.1,0.576,96.9,2.8784722222222223
22,20,40,2.75,148.5,0.549,63.3,5.009107468123861
23,20,60,2.783,100.5,0.818,92.7,3.402200488997555
24,20,100,3.056,66.4,0.852,59.8,3.586854460093897
25,25,20,4.766,459.1,0.748,199.6,6.371657754010696
26,25,30,4.083,264.3,0.697,128.4,5.857962697274032
27,25,40,5.675,278.3,1.134,194.0,5.004409171075838
28,25,60,8.39,275.0,0.909,99.1,9.22992299229923
29,25,100,9.832,186.2,1.608,132.7,6.114427860696518
30,30,20,9.366,743.1,1.563,501.3,5.992322456813819
31,30,30,11.684,621.2,1.801,464.3,6.4875069405885615
32,30,40,8.064,322.6,1.585,264.7,5.087697160883281
33,30,60,7.343,195.9,1.839,217.1,3.992930940728657
34,30,100,17.954,305.1,2.69,214.6,6.6743494423791825
35,40,20,36.817,2458.8,5.493,1908.1,6.702530493355179
36,40,30,25.561,1278.2,2.687,638.8,9.512839598064756
37,40,40,38.981,1423.2,5.125,903.2,7.606048780487805
38,40,60,23.071,579.1,4.458,542.1,5.175190668461194
39,40,100,69.651,1056.4,7.655,513.0,9.09875898105813
40,50,20,82.599,5269.0,11.462,3468.7,7.206333973128599
41,50,30,146.68,6385.8,8.564,1954.6,17.127510509107893
42,50,40,86.786,2726.9,10.252,1692.8,8.46527506827936
43,50,60,124.442,2719.5,15.434,1674.1,8.062848257094727
44,50,100,213.165,2804.4,24.568,1638.8,8.676530446108758
